Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Phenophase_ID,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,SD_First_Yes_In_Days,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,SD_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,SD_Last_Yes_in_Days,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,SD_NumDays_Until_Next_No,Num_Individuals_with_Multiple_FirstY,Multiple_FirstY_Individual_IDs,Mean_AGDD,SE_AGDD,Mean_AGDD_in_F,SE_AGDD_in_F,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Tmin_Winter,Tmin_Spring,Tmin_Summer,Tmin_Fall,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall,Mean_Accum_Prcp,SE_Accum_Prcp,Mean_Daylength,SE_Daylength
906,38.804558,-89.944405,165,IL,202,Echinacea,purpurea,eastern purple coneflower,Plantae,200,All leaves withered (herbaceous and grasses),1,2009,314,2455146,-9999,-9999,9,-9999,-9999,1,2009,69,2454901,-9999,-9999,5,-9999,-9999,1,'1095',4632.75,-9999,8338.95,-9999,5.06,19.18,28.85,19.38,-5.75,7.72,18.28,7.9,233,405,342,314,1255,-9999,35942,-9999
906,38.804558,-89.944405,165,IL,202,Echinacea,purpurea,eastern purple coneflower,Plantae,482,Initial growth (forbs),1,2009,73,2454905,-9999,-9999,4,-9999,-9999,1,2009,305,2455137,-9999,-9999,9,-9999,-9999,1,'1095',232.75,-9999,418.95,-9999,5.06,19.18,28.85,19.38,-5.75,7.72,18.28,7.9,233,405,342,314,110,-9999,41818,-9999
906,38.804558,-89.944405,165,IL,202,Echinacea,purpurea,eastern purple coneflower,Plantae,488,Leaves (forbs),1,2009,102,2454934,-9999,-9999,15,-9999,-9999,1,2009,305,2455137,-9999,-9999,9,-9999,-9999,0,'',526.5,-9999,947.7,-9999,5.06,19.18,28.85,19.38,-5.75,7.72,18.28,7.9,233,405,342,314,231,-9999,46310,-9999
940,34.091167,-118.047043,96,CA,203,Helianthus,annuus,common sunflower,Plantae,488,Leaves (forbs),1,2009,117,2454949,-9999,-9999,5,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1903,-9999,3425.4,-9999,20.81,24.64,30.76,29.85,8.84,11.68,16.61,14.97,218,20,2,59,161,-9999,47693,-9999
952,41.053677,-71.934326,9,NY,204,Liatris,aspera,tall blazing star,Plantae,482,Initial growth (forbs),1,2009,116,2454948,-9999,-9999,14,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',432.5,-9999,778.5,-9999,5.07,12.93,24.32,16.86,-3.61,4.41,16.28,7.64,341,333,436,382,360,-9999,48730,-9999
973,42.285683,-84.128387,307,MI,202,Echinacea,purpurea,eastern purple coneflower,Plantae,200,All leaves withered (herbaceous and grasses),1,2009,325,2455157,-9999,-9999,21,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',3525.75,-9999,6346.35,-9999,-0.71,14.61,25.25,15.71,-10.68,2.16,13.32,3.95,195,320,306,321,896,-9999,33523,-9999
973,42.285683,-84.128387,307,MI,202,Echinacea,purpurea,eastern purple coneflower,Plantae,201,Open flowers (1 location),1,2009,193,2455025,-9999,-9999,6,-9999,-9999,1,2009,236,2455068,-9999,-9999,17,-9999,-9999,0,'',1628.25,-9999,2930.85,-9999,-0.71,14.61,25.25,15.71,-10.68,2.16,13.32,3.95,195,320,306,321,575,-9999,53568,-9999
973,42.285683,-84.128387,307,MI,202,Echinacea,purpurea,eastern purple coneflower,Plantae,482,Initial growth (forbs),1,2009,79,2454911,-9999,-9999,2,-9999,-9999,1,2009,92,2454924,-9999,-9999,8,-9999,-9999,0,'',102.25,-9999,184.05,-9999,-0.71,14.61,25.25,15.71,-10.68,2.16,13.32,3.95,195,320,306,321,183,-9999,42854,-9999
973,42.285683,-84.128387,307,MI,202,Echinacea,purpurea,eastern purple coneflower,Plantae,488,Leaves (forbs),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,145,2454977,-9999,-9999,2,-9999,-9999,0,'',-9999,-9999,-9999,-9999,-0.71,14.61,25.25,15.71,-10.68,2.16,13.32,3.95,195,320,306,321,-9999,-9999,-9999,-9999
990,38.907368,-90.047646,158,IL,202,Echinacea,purpurea,eastern purple coneflower,Plantae,482,Initial growth (forbs),2,2009,78,2454910,0,0,4,0,0,2,2009,80,2454912,1.5,2.12132034356,3.5,1.5,2.12132034356,0,'',287.5,0,517.5,0,4.89,19.02,28.72,19.2,-5.84,7.55,18.22,7.86,229,387,348,292,107,0,42854,0
990,38.907368,-90.047646,158,IL,202,Echinacea,purpurea,eastern purple coneflower,Plantae,488,Leaves (forbs),2,2009,80,2454912,1.5,2.12132034356,3,1,1.41421356237,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',301.75,14.25,543.15,25.65,4.89,19.02,28.72,19.2,-5.84,7.55,18.22,7.86,229,387,348,292,107,0,43027,173
1127,42.979267,-70.957291,15,NH,202,Echinacea,purpurea,eastern purple coneflower,Plantae,482,Initial growth (forbs),2,2009,98,2454930,0,0,2,0,0,1,2009,105,2454937,-9999,-9999,9,-9999,-9999,0,'',148.5,0,267.3,0,1.97,14.1,24.51,15.43,-9.32,1.83,14.02,4.23,343,321,544,471,329,0,46310,0
1127,42.979267,-70.957291,15,NH,202,Echinacea,purpurea,eastern purple coneflower,Plantae,488,Leaves (forbs),2,2009,114,2454946,0,0,9,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',266.75,0,480.15,0,1.97,14.1,24.51,15.43,-9.32,1.83,14.02,4.23,343,321,544,471,384,0,49075,0
1162,43.202087,-77.602692,125,NY,202,Echinacea,purpurea,eastern purple coneflower,Plantae,482,Initial growth (forbs),1,2009,93,2454925,-9999,-9999,14,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',173.75,-9999,312.75,-9999,1.13,14.14,24.29,15.35,-7.46,2.86,14.52,5.64,175,248,359,210,176,-9999,45274,-9999
1162,43.202087,-77.602692,125,NY,202,Echinacea,purpurea,eastern purple coneflower,Plantae,488,Leaves (forbs),1,2009,107,2454939,-9999,-9999,7,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',246.5,-9999,443.7,-9999,1.13,14.14,24.29,15.35,-7.46,2.86,14.52,5.64,175,248,359,210,217,-9999,47693,-9999
1167,40.096401,-75.970802,267,PA,202,Echinacea,purpurea,eastern purple coneflower,Plantae,482,Initial growth (forbs),1,2009,123,2454955,-9999,-9999,6,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',578,-9999,1040.4,-9999,3.74,16.04,26.21,17.08,-5.77,4.57,15.92,6.23,251,317,521,297,256,-9999,49766,-9999
1167,40.096401,-75.970802,267,PA,202,Echinacea,purpurea,eastern purple coneflower,Plantae,488,Leaves (forbs),1,2009,123,2454955,-9999,-9999,15,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',578,-9999,1040.4,-9999,3.74,16.04,26.21,17.08,-5.77,4.57,15.92,6.23,251,317,521,297,256,-9999,49766,-9999
1211,36.161465,-87.016701,166,TN,195,Asclepias,tuberosa,butterfly milkweed,Plantae,201,Open flowers (1 location),1,2009,151,2454983,-9999,-9999,7,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1543.75,-9999,2778.75,-9999,9.31,20.3,29.6,21.23,-2.96,8.01,18,7.71,483,495,345,222,772,-9999,51494,-9999
1211,36.161465,-87.016701,166,TN,195,Asclepias,tuberosa,butterfly milkweed,Plantae,482,Initial growth (forbs),1,2009,116,2454948,-9999,-9999,7,-9999,-9999,1,2009,123,2454955,-9999,-9999,7,-9999,-9999,0,'',877,-9999,1578.6,-9999,9.31,20.3,29.6,21.23,-2.96,8.01,18,7.71,483,495,345,222,534,-9999,48038,-9999
1211,36.161465,-87.016701,166,TN,195,Asclepias,tuberosa,butterfly milkweed,Plantae,488,Leaves (forbs),1,2009,130,2454962,-9999,-9999,7,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1139.75,-9999,2051.55,-9999,9.31,20.3,29.6,21.23,-2.96,8.01,18,7.71,483,495,345,222,724,-9999,49766,-9999
1373,42.261772,-72.664558,52,MA,195,Asclepias,tuberosa,butterfly milkweed,Plantae,488,Leaves (forbs),1,2009,105,2454937,-9999,-9999,6,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',206.25,-9999,371.25,-9999,1.87,14.97,25.71,16.09,-9.43,2.01,14.61,4.03,294,253,465,389,244,-9999,47347,-9999
1374,40.048782,-84.376724,293,OH,156,Cirsium,arvense,Canada thistle,Plantae,482,Initial growth (forbs),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,90,2454922,-9999,-9999,2,-9999,-9999,0,'',-9999,-9999,-9999,-9999,1.97,17.34,26.82,18.18,-7.74,4.9,15.74,5.6,218,238,287,161,-9999,-9999,-9999,-9999
1374,40.048782,-84.376724,293,OH,156,Cirsium,arvense,Canada thistle,Plantae,488,Leaves (forbs),1,2009,92,2454924,-9999,-9999,2,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',298.25,-9999,536.85,-9999,1.97,17.34,26.82,18.18,-7.74,4.9,15.74,5.6,218,238,287,161,121,-9999,44928,-9999
1447,42.176537,-85.892448,230,MI,195,Asclepias,tuberosa,butterfly milkweed,Plantae,201,Open flowers (1 location),1,2009,178,2455010,-9999,-9999,14,-9999,-9999,1,2009,178,2455010,-9999,-9999,6,-9999,-9999,0,'',1444.25,-9999,2599.65,-9999,0.23,15.35,25.68,16.12,-9.42,3.01,14.07,5.16,324,302,287,465,568,-9999,54259,-9999
1447,42.176537,-85.892448,230,MI,195,Asclepias,tuberosa,butterfly milkweed,Plantae,482,Initial growth (forbs),1,2009,129,2454961,-9999,-9999,8,-9999,-9999,1,2009,142,2454974,-9999,-9999,7,-9999,-9999,0,'',580,-9999,1044,-9999,0.23,15.35,25.68,16.12,-9.42,3.01,14.07,5.16,324,302,287,465,413,-9999,51149,-9999
1447,42.176537,-85.892448,230,MI,195,Asclepias,tuberosa,butterfly milkweed,Plantae,488,Leaves (forbs),1,2009,142,2454974,-9999,-9999,7,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',756.25,-9999,1361.25,-9999,0.23,15.35,25.68,16.12,-9.42,3.01,14.07,5.16,324,302,287,465,438,-9999,52531,-9999
1447,42.176537,-85.892448,230,MI,202,Echinacea,purpurea,eastern purple coneflower,Plantae,201,Open flowers (1 location),1,2009,199,2455031,-9999,-9999,21,-9999,-9999,1,2009,263,2455095,-9999,-9999,20,-9999,-9999,0,'',1843.75,-9999,3318.75,-9999,0.23,15.35,25.68,16.12,-9.42,3.01,14.07,5.16,324,302,287,465,584,-9999,52877,-9999
1447,42.176537,-85.892448,230,MI,202,Echinacea,purpurea,eastern purple coneflower,Plantae,482,Initial growth (forbs),1,2009,108,2454940,-9999,-9999,8,-9999,-9999,1,2009,129,2454961,-9999,-9999,6,-9999,-9999,0,'',300,-9999,540,-9999,0.23,15.35,25.68,16.12,-9.42,3.01,14.07,5.16,324,302,287,465,334,-9999,47693,-9999
1447,42.176537,-85.892448,230,MI,202,Echinacea,purpurea,eastern purple coneflower,Plantae,488,Leaves (forbs),1,2009,108,2454940,-9999,-9999,8,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',300,-9999,540,-9999,0.23,15.35,25.68,16.12,-9.42,3.01,14.07,5.16,324,302,287,465,334,-9999,47693,-9999
1452,29.883593,-81.278229,1,FL,195,Asclepias,tuberosa,butterfly milkweed,Plantae,201,Open flowers (1 location),1,2009,97,2454929,-9999,-9999,21,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1486,-9999,2674.8,-9999,20.31,25.72,31.84,26.06,8.42,15.66,22.97,17.17,154,558,516,180,248,-9999,44928,-9999
1476,34.750793,-82.344971,252,SC,202,Echinacea,purpurea,eastern purple coneflower,Plantae,200,All leaves withered (herbaceous and grasses),1,2009,314,2455146,-9999,-9999,11,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',5416,-9999,9748.8,-9999,12.58,21.68,31.29,21.33,0.78,9.64,19.69,9.24,283,438,217,186,1072,-9999,36979,-9999
1476,34.750793,-82.344971,252,SC,202,Echinacea,purpurea,eastern purple coneflower,Plantae,488,Leaves (forbs),1,2009,95,2454927,-9999,-9999,6,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',783.75,-9999,1410.75,-9999,12.58,21.68,31.29,21.33,0.78,9.64,19.69,9.24,283,438,217,186,350,-9999,44928,-9999
1545,42.525692,-89.214783,255,WI,199,Asclepias,syriaca,common milkweed,Plantae,482,Initial growth (forbs),1,2009,137,2454969,-9999,-9999,2,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',614,-9999,1105.2,-9999,-2.51,14.55,25.29,15.52,-13.46,2.38,14.02,4.58,191,342,371,222,411,-9999,52186,-9999
1559,39.289673,-123.373718,212,CA,156,Cirsium,arvense,Canada thistle,Plantae,201,Open flowers (1 location),1,2009,108,2454940,-9999,-9999,12,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',847.5,-9999,1525.5,-9999,11.84,16.5,25.96,21.11,2.25,4.79,11.11,8.13,425,246,0,206,406,-9999,47347,-9999
1572,44.588772,-93.004623,308,MN,199,Asclepias,syriaca,common milkweed,Plantae,200,All leaves withered (herbaceous and grasses),4,2009,290,2455122,3.75277674973,7.50555349947,14,0.57735026919,1.15470053838,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',3108.375,15.9493011864,5595.075,28.7087421355,-5.28,13.01,24.57,14.17,-16.78,0.91,13.27,3.42,88,146,397,183,694,15.0111069989,38361.5,598.423554015
1572,44.588772,-93.004623,308,MN,199,Asclepias,syriaca,common milkweed,Plantae,201,Open flowers (1 location),4,2009,186,2455018,0,0,17.75,1.75,3.5,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1383,0,2489.4,0,-5.28,13.01,24.57,14.17,-16.78,0.91,13.27,3.42,88,146,397,183,357,0,54950,0
1572,44.588772,-93.004623,308,MN,199,Asclepias,syriaca,common milkweed,Plantae,482,Initial growth (forbs),4,2009,142,2454974,0,0,6,0,0,4,2009,142,2454974,0,0,14,0,0,0,'',604,0,1087.2,0,-5.28,13.01,24.57,14.17,-16.78,0.91,13.27,3.42,88,146,397,183,183,0,53568,0
1572,44.588772,-93.004623,308,MN,199,Asclepias,syriaca,common milkweed,Plantae,488,Leaves (forbs),4,2009,142,2454974,0,0,6,0,0,4,2009,276,2455108,4.33012701892,8.66025403784,14,0.57735026919,1.15470053838,0,'',604,0,1087.2,0,-5.28,13.01,24.57,14.17,-16.78,0.91,13.27,3.42,88,146,397,183,183,0,53568,0
1572,44.588772,-93.004623,308,MN,202,Echinacea,purpurea,eastern purple coneflower,Plantae,201,Open flowers (1 location),4,2009,198,2455030,0,0,28,0,0,4,2009,254,2455086,0,0,14,0,0,0,'',1620,0,2916,0,-5.28,13.01,24.57,14.17,-16.78,0.91,13.27,3.42,88,146,397,183,360,0,53914,0
1572,44.588772,-93.004623,308,MN,202,Echinacea,purpurea,eastern purple coneflower,Plantae,482,Initial growth (forbs),4,2009,114,2454946,0,0,7,0,0,4,2009,138,2454970,1.5,3,8,2,4,0,'',243,0,437.4,0,-5.28,13.01,24.57,14.17,-16.78,0.91,13.27,3.42,88,146,397,183,114,0,49421,0
1572,44.588772,-93.004623,308,MN,202,Echinacea,purpurea,eastern purple coneflower,Plantae,488,Leaves (forbs),4,2009,117,2454949,2.5,5,7.75,0.75,1.5,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',268.6875,25.6875,483.6375,46.2375,-5.28,13.01,24.57,14.17,-16.78,0.91,13.27,3.42,88,146,397,183,125.25,11.25,49853,432
1598,48.051636,-92.766304,395,MN,156,Cirsium,arvense,Canada thistle,Plantae,201,Open flowers (1 location),1,2009,203,2455035,-9999,-9999,14,-9999,-9999,1,2009,238,2455070,-9999,-9999,7,-9999,-9999,0,'',1154.25,-9999,2077.65,-9999,-9.58,8.71,21.65,10.12,-22.79,-4.57,8.61,-0.06,106,185,299,248,369,-9999,54950,-9999
1598,48.051636,-92.766304,395,MN,156,Cirsium,arvense,Canada thistle,Plantae,482,Initial growth (forbs),1,2009,124,2454956,-9999,-9999,7,-9999,-9999,1,2009,124,2454956,-9999,-9999,6,-9999,-9999,0,'',157.75,-9999,283.95,-9999,-9.58,8.71,21.65,10.12,-22.79,-4.57,8.61,-0.06,106,185,299,248,177,-9999,52186,-9999
1598,48.051636,-92.766304,395,MN,156,Cirsium,arvense,Canada thistle,Plantae,488,Leaves (forbs),1,2009,145,2454977,-9999,-9999,7,-9999,-9999,1,2009,286,2455118,-9999,-9999,8,-9999,-9999,0,'',346.5,-9999,623.7,-9999,-9.58,8.71,21.65,10.12,-22.79,-4.57,8.61,-0.06,106,185,299,248,224,-9999,55296,-9999
1598,48.051636,-92.766304,395,MN,199,Asclepias,syriaca,common milkweed,Plantae,200,All leaves withered (herbaceous and grasses),1,2009,267,2455099,-9999,-9999,22,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',2209.25,-9999,3976.65,-9999,-9.58,8.71,21.65,10.12,-22.79,-4.57,8.61,-0.06,106,185,299,248,553,-9999,42509,-9999
1598,48.051636,-92.766304,395,MN,199,Asclepias,syriaca,common milkweed,Plantae,201,Open flowers (1 location),1,2009,203,2455035,-9999,-9999,14,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1154.25,-9999,2077.65,-9999,-9.58,8.71,21.65,10.12,-22.79,-4.57,8.61,-0.06,106,185,299,248,369,-9999,54950,-9999
1598,48.051636,-92.766304,395,MN,199,Asclepias,syriaca,common milkweed,Plantae,488,Leaves (forbs),2,2009,154,2454986,0,0,3,0,0,1,2009,267,2455099,-9999,-9999,27,-9999,-9999,0,'',429.5,0,773.1,0,-9.58,8.71,21.65,10.12,-22.79,-4.57,8.61,-0.06,106,185,299,248,244,0,56333,0
1780,42.979492,-70.95697,172,NH,170,Lupinus,perennis,sundial lupine,Plantae,482,Initial growth (forbs),1,2009,104,2454936,-9999,-9999,1,-9999,-9999,1,2009,104,2454936,-9999,-9999,10,-9999,-9999,0,'',184,-9999,331.2,-9999,1.97,14.1,24.51,15.43,-9.32,1.83,14.02,4.23,343,321,544,471,338,-9999,47347,-9999
1780,42.979492,-70.95697,172,NH,170,Lupinus,perennis,sundial lupine,Plantae,488,Leaves (forbs),1,2009,114,2454946,-9999,-9999,10,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',266.75,-9999,480.15,-9999,1.97,14.1,24.51,15.43,-9.32,1.83,14.02,4.23,343,321,544,471,384,-9999,49075,-9999
1784,39.147102,-84.380188,176,OH,195,Asclepias,tuberosa,butterfly milkweed,Plantae,201,Open flowers (1 location),1,2009,146,2454978,-9999,-9999,3,-9999,-9999,1,2009,207,2455039,-9999,-9999,20,-9999,-9999,1,'3420',1194.5,-9999,2150.1,-9999,4.9,18.96,27.74,19.92,-5.38,6.47,16.71,6.56,264,237,337,167,370,-9999,51840,-9999
1784,39.147102,-84.380188,176,OH,195,Asclepias,tuberosa,butterfly milkweed,Plantae,482,Initial growth (forbs),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,128,2454960,-9999,-9999,1,-9999,-9999,0,'',-9999,-9999,-9999,-9999,4.9,18.96,27.74,19.92,-5.38,6.47,16.71,6.56,264,237,337,167,-9999,-9999,-9999,-9999
1784,39.147102,-84.380188,176,OH,195,Asclepias,tuberosa,butterfly milkweed,Plantae,488,Leaves (forbs),1,2009,107,2454939,-9999,-9999,1,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',532,-9999,957.6,-9999,4.9,18.96,27.74,19.92,-5.38,6.47,16.71,6.56,264,237,337,167,268,-9999,47347,-9999
1784,39.147102,-84.380188,176,OH,197,Asclepias,incarnata,swamp milkweed,Plantae,201,Open flowers (1 location),1,2009,156,2454988,-9999,-9999,5,-9999,-9999,1,2009,207,2455039,-9999,-9999,20,-9999,-9999,1,'3421',1395.5,-9999,2511.9,-9999,4.9,18.96,27.74,19.92,-5.38,6.47,16.71,6.56,264,237,337,167,420,-9999,52531,-9999
1784,39.147102,-84.380188,176,OH,197,Asclepias,incarnata,swamp milkweed,Plantae,482,Initial growth (forbs),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,129,2454961,-9999,-9999,3,-9999,-9999,0,'',-9999,-9999,-9999,-9999,4.9,18.96,27.74,19.92,-5.38,6.47,16.71,6.56,264,237,337,167,-9999,-9999,-9999,-9999
1784,39.147102,-84.380188,176,OH,197,Asclepias,incarnata,swamp milkweed,Plantae,488,Leaves (forbs),1,2009,113,2454945,-9999,-9999,5,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',601.5,-9999,1082.7,-9999,4.9,18.96,27.74,19.92,-5.38,6.47,16.71,6.56,264,237,337,167,286,-9999,48038,-9999
1784,39.147102,-84.380188,176,OH,202,Echinacea,purpurea,eastern purple coneflower,Plantae,201,Open flowers (1 location),1,2009,156,2454988,-9999,-9999,5,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',1395.5,-9999,2511.9,-9999,4.9,18.96,27.74,19.92,-5.38,6.47,16.71,6.56,264,237,337,167,420,-9999,52531,-9999
1784,39.147102,-84.380188,176,OH,202,Echinacea,purpurea,eastern purple coneflower,Plantae,482,Initial growth (forbs),1,2009,106,2454938,-9999,-9999,3,-9999,-9999,1,2009,136,2454968,-9999,-9999,2,-9999,-9999,0,'',519.75,-9999,935.55,-9999,4.9,18.96,27.74,19.92,-5.38,6.47,16.71,6.56,264,237,337,167,268,-9999,47002,-9999
